2.30 W, 1114 MiB, 4 %, 210 MHz, 39
15.85 W, 2805 MiB, 36 %, 1980 MHz, 41
15.89 W, 6144 MiB, 35 %, 1980 MHz, 41
13.58 W, 6654 MiB, 0 %, 1980 MHz, 41
13.92 W, 6641 MiB, 1 %, 1980 MHz, 41
13.51 W, 6644 MiB, 0 %, 1980 MHz, 41
13.53 W, 6641 MiB, 1 %, 1980 MHz, 41
12.68 W, 6638 MiB, 2 %, 525 MHz, 41
2.29 W, 6639 MiB, 12 %, 375 MHz, 40
2.22 W, 6639 MiB, 16 %, 255 MHz, 40
1.88 W, 6638 MiB, 16 %, 210 MHz, 40
2.18 W, 6638 MiB, 14 %, 210 MHz, 40
1.92 W, 6638 MiB, 0 %, 210 MHz, 40
1.96 W, 6638 MiB, 0 %, 210 MHz, 40
2.02 W, 6638 MiB, 4 %, 210 MHz, 40
2.01 W, 6637 MiB, 7 %, 210 MHz, 40
1.97 W, 6639 MiB, 1 %, 210 MHz, 40
2.31 W, 6643 MiB, 16 %, 210 MHz, 40
2.31 W, 6654 MiB, 16 %, 210 MHz, 40
2.20 W, 6653 MiB, 16 %, 210 MHz, 40
2.20 W, 6654 MiB, 14 %, 210 MHz, 40
1.99 W, 6653 MiB, 11 %, 210 MHz, 40
2.11 W, 6649 MiB, 7 %, 210 MHz, 40
2.12 W, 6648 MiB, 8 %, 210 MHz, 39
1.88 W, 6648 MiB, 1 %, 210 MHz, 39
1.90 W, 6641 MiB, 1 %, 210 MHz, 39
1.98 W, 6639 MiB, 12 %, 210 MHz, 39
1.84 W, 6639 MiB, 0 %, 210 MHz, 39
1.96 W, 6639 MiB, 0 %, 210 MHz, 39
1.98 W, 6639 MiB, 0 %, 210 MHz, 39
1.86 W, 6639 MiB, 1 %, 210 MHz, 39
1.75 W, 6639 MiB, 0 %, 210 MHz, 39
2.04 W, 6638 MiB, 14 %, 210 MHz, 39
1.90 W, 6638 MiB, 0 %, 210 MHz, 39
1.95 W, 6638 MiB, 3 %, 210 MHz, 39
2.12 W, 6639 MiB, 10 %, 210 MHz, 39
2.08 W, 6654 MiB, 19 %, 210 MHz, 39
2.05 W, 6654 MiB, 7 %, 210 MHz, 39
2.23 W, 6679 MiB, 11 %, 210 MHz, 39
1.85 W, 6701 MiB, 0 %, 210 MHz, 39
2.24 W, 6702 MiB, 13 %, 210 MHz, 39
2.10 W, 6702 MiB, 10 %, 210 MHz, 39
2.03 W, 6702 MiB, 2 %, 210 MHz, 39
2.05 W, 6699 MiB, 3 %, 210 MHz, 39
2.06 W, 6699 MiB, 0 %, 210 MHz, 39
1.76 W, 6701 MiB, 0 %, 210 MHz, 39
1.97 W, 6717 MiB, 4 %, 210 MHz, 39
1.97 W, 6725 MiB, 3 %, 210 MHz, 39
13.43 W, 6729 MiB, 0 %, 1980 MHz, 40
13.29 W, 6729 MiB, 0 %, 1980 MHz, 41
13.51 W, 6731 MiB, 4 %, 510 MHz, 41
3.03 W, 6719 MiB, 3 %, 345 MHz, 40
1.96 W, 6717 MiB, 0 %, 225 MHz, 40
2.18 W, 6717 MiB, 4 %, 210 MHz, 39
2.02 W, 6704 MiB, 0 %, 210 MHz, 40
2.28 W, 6703 MiB, 14 %, 210 MHz, 40
2.17 W, 6703 MiB, 7 %, 210 MHz, 40
2.06 W, 6701 MiB, 3 %, 210 MHz, 39
2.11 W, 6704 MiB, 5 %, 210 MHz, 39
13.70 W, 6708 MiB, 0 %, 1980 MHz, 41
